File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF001RTX	fastq	fastq		reads		ENCSR000AEU	total RNA-seq	/human-donors/ENCDO060AAA/	UBERON:0002107	liver	tissue	Homo sapiens											RNA	rRNA				reverse	2014-06-30	ENCODE		see document	>200	2	2_1	101		paired-ended	2	/files/ENCFF001RTY/			14495108389	Thomas Gingeras, CSHL	7e80e5897ed77d6e27fc8b2dfd3e3ca7	SRA:SRR3192418	https://www.encodeproject.org/files/ENCFF001RTX/@@download/ENCFF001RTX.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2013/08/15/ac655baf-d707-42f7-8bd6-05d552763284/ENCFF001RTX.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2013/08/15/ac655baf-d707-42f7-8bd6-05d552763284/ENCFF001RTX.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
ENCFF001RUA	fastq	fastq		reads		ENCSR000AEU	total RNA-seq	/human-donors/ENCDO059AAA/	UBERON:0002107	liver	tissue	Homo sapiens											RNA	rRNA				reverse	2014-06-30	ENCODE		see document	>200	1	1_1	101		paired-ended	1	/files/ENCFF001RTZ/			14323556875	Thomas Gingeras, CSHL	aace4b27c88b79963dfc8f06b3198a07	SRA:SRR3192419	https://www.encodeproject.org/files/ENCFF001RUA/@@download/ENCFF001RUA.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2013/08/15/21803afa-1961-403b-b7f4-ee0977bc0057/ENCFF001RUA.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2013/08/15/21803afa-1961-403b-b7f4-ee0977bc0057/ENCFF001RUA.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
ENCFF001RTZ	fastq	fastq		reads		ENCSR000AEU	total RNA-seq	/human-donors/ENCDO059AAA/	UBERON:0002107	liver	tissue	Homo sapiens											RNA	rRNA				reverse	2014-06-30	ENCODE		see document	>200	1	1_1	101		paired-ended	2	/files/ENCFF001RUA/			14747738105	Thomas Gingeras, CSHL	d75f9e380245f2eb9a1c38004da56c01	SRA:SRR3192419	https://www.encodeproject.org/files/ENCFF001RTZ/@@download/ENCFF001RTZ.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2013/08/15/cda9ca92-562e-450c-9f05-9c3ff946508a/ENCFF001RTZ.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2013/08/15/cda9ca92-562e-450c-9f05-9c3ff946508a/ENCFF001RTZ.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
ENCFF001RTY	fastq	fastq		reads		ENCSR000AEU	total RNA-seq	/human-donors/ENCDO060AAA/	UBERON:0002107	liver	tissue	Homo sapiens											RNA	rRNA				reverse	2014-06-30	ENCODE		see document	>200	2	2_1	101		paired-ended	1	/files/ENCFF001RTX/			14578828173	Thomas Gingeras, CSHL	8b5fa354d3ce007a5fcd0b8ab87e10fb	SRA:SRR3192418	https://www.encodeproject.org/files/ENCFF001RTY/@@download/ENCFF001RTY.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2013/08/15/08536030-8508-4259-a2b7-bd49c69e36d0/ENCFF001RTY.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2013/08/15/08536030-8508-4259-a2b7-bd49c69e36d0/ENCFF001RTY.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
ENCFF052TFM	fastq	fastq		reads		ENCSR551NII	total RNA-seq	/human-donors/ENCDO271OUW/	UBERON:0004264	lower leg skin	tissue	Homo sapiens											RNA	rRNA				reverse	2016-08-04	ENCODE		see document	>200	1	1_1	101		paired-ended	1	/files/ENCFF446HCJ/			4921859807	Thomas Gingeras, CSHL	d61c67762ac2da316c153b078731f984	SRA:SRR4421946	https://www.encodeproject.org/files/ENCFF052TFM/@@download/ENCFF052TFM.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released	s3://encode-public/2016/07/20/11682bae-c189-43f7-92f5-25e0adb55313/ENCFF052TFM.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2016/07/20/11682bae-c189-43f7-92f5-25e0adb55313/ENCFF052TFM.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
ENCFF446HCJ	fastq	fastq		reads		ENCSR551NII	total RNA-seq	/human-donors/ENCDO271OUW/	UBERON:0004264	lower leg skin	tissue	Homo sapiens											RNA	rRNA				reverse	2016-08-04	ENCODE		see document	>200	1	1_1	101		paired-ended	2	/files/ENCFF052TFM/			5113550814	Thomas Gingeras, CSHL	dad63ca463db290966042622fe30c8da	SRA:SRR4421946	https://www.encodeproject.org/files/ENCFF446HCJ/@@download/ENCFF446HCJ.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released	s3://encode-public/2016/07/20/e9a85a2e-07bb-4b34-b91d-6b106ea1dfae/ENCFF446HCJ.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2016/07/20/e9a85a2e-07bb-4b34-b91d-6b106ea1dfae/ENCFF446HCJ.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
ENCFF623WSO	fastq	fastq		reads		ENCSR460YCS	total RNA-seq	/human-donors/ENCDO451RUA/	UBERON:0004264	lower leg skin	tissue	Homo sapiens											RNA	rRNA				reverse	2016-02-18	ENCODE		see document	>200	1	1_1	101		paired-ended	1	/files/ENCFF728KPM/			3944321320	Thomas Gingeras, CSHL	3e15f2dc693752109c0151517ff46e15	SRA:SRR4421826	https://www.encodeproject.org/files/ENCFF623WSO/@@download/ENCFF623WSO.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released	s3://encode-public/2015/10/03/04028169-81a2-4cf7-a330-b5513527ed31/ENCFF623WSO.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2015/10/03/04028169-81a2-4cf7-a330-b5513527ed31/ENCFF623WSO.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
ENCFF728KPM	fastq	fastq		reads		ENCSR460YCS	total RNA-seq	/human-donors/ENCDO451RUA/	UBERON:0004264	lower leg skin	tissue	Homo sapiens											RNA	rRNA				reverse	2016-02-18	ENCODE		see document	>200	1	1_1	101		paired-ended	2	/files/ENCFF623WSO/			4098935200	Thomas Gingeras, CSHL	350b119772a51a041cf83e1af59d65ee	SRA:SRR4421826	https://www.encodeproject.org/files/ENCFF728KPM/@@download/ENCFF728KPM.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released	s3://encode-public/2015/10/03/778e30b2-46e0-4bb5-8d89-4e87b181dd09/ENCFF728KPM.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2015/10/03/778e30b2-46e0-4bb5-8d89-4e87b181dd09/ENCFF728KPM.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
ENCFF008OVI	fastq	fastq		reads		ENCSR321PGV	total RNA-seq	/human-donors/ENCDO845WKR/	UBERON:0004264	lower leg skin	tissue	Homo sapiens											RNA	rRNA				reverse	2016-02-18	ENCODE		see document	>200	1	1_1	101		paired-ended	2	/files/ENCFF431RAQ/			5314653732	Thomas Gingeras, CSHL	4f5d77b8f6369d677af435d11e02ba7d	SRA:SRR4421640	https://www.encodeproject.org/files/ENCFF008OVI/@@download/ENCFF008OVI.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released	s3://encode-public/2015/10/03/154d667a-eaf9-4b1c-89ac-10c0aaf4283e/ENCFF008OVI.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2015/10/03/154d667a-eaf9-4b1c-89ac-10c0aaf4283e/ENCFF008OVI.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
ENCFF431RAQ	fastq	fastq		reads		ENCSR321PGV	total RNA-seq	/human-donors/ENCDO845WKR/	UBERON:0004264	lower leg skin	tissue	Homo sapiens											RNA	rRNA				reverse	2016-02-18	ENCODE		see document	>200	1	1_1	101		paired-ended	1	/files/ENCFF008OVI/			5169945610	Thomas Gingeras, CSHL	9715c89a3b66176493c97a635b8c9bcc	SRA:SRR4421640	https://www.encodeproject.org/files/ENCFF431RAQ/@@download/ENCFF431RAQ.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released	s3://encode-public/2015/10/03/0b13979a-f33c-4b50-baac-a7cedb3baf10/ENCFF431RAQ.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2015/10/03/0b13979a-f33c-4b50-baac-a7cedb3baf10/ENCFF431RAQ.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
