File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF001RTR	fastq	fastq		reads		ENCSR000AHH	total RNA-seq	/human-donors/ENCDO058AAA/	UBERON:0000948	heart	tissue	Homo sapiens											RNA	rRNA				reverse	2014-06-30	ENCODE		see document	>200	1	1_1	101		paired-ended	2	/files/ENCFF001RTS/			13254380674	Thomas Gingeras, CSHL	537af8a579bec7ee0b03462374d8c3df	SRA:SRR4421689	https://www.encodeproject.org/files/ENCFF001RTR/@@download/ENCFF001RTR.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2013/08/02/a0ec8bfc-fc17-48c6-a1a5-664651b7cfdf/ENCFF001RTR.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2013/08/02/a0ec8bfc-fc17-48c6-a1a5-664651b7cfdf/ENCFF001RTR.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
ENCFF001RTS	fastq	fastq		reads		ENCSR000AHH	total RNA-seq	/human-donors/ENCDO058AAA/	UBERON:0000948	heart	tissue	Homo sapiens											RNA	rRNA				reverse	2014-06-30	ENCODE		see document	>200	1	1_1	101		paired-ended	1	/files/ENCFF001RTR/			12948085566	Thomas Gingeras, CSHL	63dc60a6338a85d63e5b103762670db4	SRA:SRR4421689	https://www.encodeproject.org/files/ENCFF001RTS/@@download/ENCFF001RTS.fastq.gz		Illumina HiSeq 2000		released	s3://encode-public/2013/08/02/c0fc183a-02af-4539-aed9-b0a56d3e29a4/ENCFF001RTS.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2013/08/02/c0fc183a-02af-4539-aed9-b0a56d3e29a4/ENCFF001RTS.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
ENCFF623WSO	fastq	fastq		reads		ENCSR460YCS	total RNA-seq	/human-donors/ENCDO451RUA/	UBERON:0004264	lower leg skin	tissue	Homo sapiens											RNA	rRNA				reverse	2016-02-18	ENCODE		see document	>200	1	1_1	101		paired-ended	1	/files/ENCFF728KPM/			3944321320	Thomas Gingeras, CSHL	3e15f2dc693752109c0151517ff46e15	SRA:SRR4421826	https://www.encodeproject.org/files/ENCFF623WSO/@@download/ENCFF623WSO.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released	s3://encode-public/2015/10/03/04028169-81a2-4cf7-a330-b5513527ed31/ENCFF623WSO.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2015/10/03/04028169-81a2-4cf7-a330-b5513527ed31/ENCFF623WSO.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
ENCFF728KPM	fastq	fastq		reads		ENCSR460YCS	total RNA-seq	/human-donors/ENCDO451RUA/	UBERON:0004264	lower leg skin	tissue	Homo sapiens											RNA	rRNA				reverse	2016-02-18	ENCODE		see document	>200	1	1_1	101		paired-ended	2	/files/ENCFF623WSO/			4098935200	Thomas Gingeras, CSHL	350b119772a51a041cf83e1af59d65ee	SRA:SRR4421826	https://www.encodeproject.org/files/ENCFF728KPM/@@download/ENCFF728KPM.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released	s3://encode-public/2015/10/03/778e30b2-46e0-4bb5-8d89-4e87b181dd09/ENCFF728KPM.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2015/10/03/778e30b2-46e0-4bb5-8d89-4e87b181dd09/ENCFF728KPM.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
ENCFF008OVI	fastq	fastq		reads		ENCSR321PGV	total RNA-seq	/human-donors/ENCDO845WKR/	UBERON:0004264	lower leg skin	tissue	Homo sapiens											RNA	rRNA				reverse	2016-02-18	ENCODE		see document	>200	1	1_1	101		paired-ended	2	/files/ENCFF431RAQ/			5314653732	Thomas Gingeras, CSHL	4f5d77b8f6369d677af435d11e02ba7d	SRA:SRR4421640	https://www.encodeproject.org/files/ENCFF008OVI/@@download/ENCFF008OVI.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released	s3://encode-public/2015/10/03/154d667a-eaf9-4b1c-89ac-10c0aaf4283e/ENCFF008OVI.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2015/10/03/154d667a-eaf9-4b1c-89ac-10c0aaf4283e/ENCFF008OVI.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
ENCFF431RAQ	fastq	fastq		reads		ENCSR321PGV	total RNA-seq	/human-donors/ENCDO845WKR/	UBERON:0004264	lower leg skin	tissue	Homo sapiens											RNA	rRNA				reverse	2016-02-18	ENCODE		see document	>200	1	1_1	101		paired-ended	1	/files/ENCFF008OVI/			5169945610	Thomas Gingeras, CSHL	9715c89a3b66176493c97a635b8c9bcc	SRA:SRR4421640	https://www.encodeproject.org/files/ENCFF431RAQ/@@download/ENCFF431RAQ.fastq.gz		Illumina HiSeq 2000	/files/ENCFF001RTP/	released	s3://encode-public/2015/10/03/0b13979a-f33c-4b50-baac-a7cedb3baf10/ENCFF431RAQ.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2015/10/03/0b13979a-f33c-4b50-baac-a7cedb3baf10/ENCFF431RAQ.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
ENCFF052TFM	fastq	fastq		reads		ENCSR551NII	total RNA-seq	/human-donors/ENCDO271OUW/	UBERON:0004264	lower leg skin	tissue	Homo sapiens											RNA	rRNA				reverse	2016-08-04	ENCODE		see document	>200	1	1_1	101		paired-ended	1	/files/ENCFF446HCJ/			4921859807	Thomas Gingeras, CSHL	d61c67762ac2da316c153b078731f984	SRA:SRR4421946	https://www.encodeproject.org/files/ENCFF052TFM/@@download/ENCFF052TFM.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released	s3://encode-public/2016/07/20/11682bae-c189-43f7-92f5-25e0adb55313/ENCFF052TFM.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2016/07/20/11682bae-c189-43f7-92f5-25e0adb55313/ENCFF052TFM.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
ENCFF446HCJ	fastq	fastq		reads		ENCSR551NII	total RNA-seq	/human-donors/ENCDO271OUW/	UBERON:0004264	lower leg skin	tissue	Homo sapiens											RNA	rRNA				reverse	2016-08-04	ENCODE		see document	>200	1	1_1	101		paired-ended	2	/files/ENCFF052TFM/			5113550814	Thomas Gingeras, CSHL	dad63ca463db290966042622fe30c8da	SRA:SRR4421946	https://www.encodeproject.org/files/ENCFF446HCJ/@@download/ENCFF446HCJ.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released	s3://encode-public/2016/07/20/e9a85a2e-07bb-4b34-b91d-6b106ea1dfae/ENCFF446HCJ.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2016/07/20/e9a85a2e-07bb-4b34-b91d-6b106ea1dfae/ENCFF446HCJ.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
ENCFF732GVX	fastq	fastq		reads		ENCSR991HIR	total RNA-seq	/human-donors/ENCDO793LXB/	UBERON:0004264	lower leg skin	tissue	Homo sapiens											RNA	rRNA				reverse	2016-08-04	ENCODE		see document	>200	1	1_1	101		paired-ended	1	/files/ENCFF235JEO/			4910763427	Thomas Gingeras, CSHL	f6b687bf4a21eb01b79f2192322342fe	SRA:SRR4422571	https://www.encodeproject.org/files/ENCFF732GVX/@@download/ENCFF732GVX.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released	s3://encode-public/2016/07/20/a27e4b73-b19c-427e-9bdf-d14b5346e3ef/ENCFF732GVX.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2016/07/20/a27e4b73-b19c-427e-9bdf-d14b5346e3ef/ENCFF732GVX.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
ENCFF235JEO	fastq	fastq		reads		ENCSR991HIR	total RNA-seq	/human-donors/ENCDO793LXB/	UBERON:0004264	lower leg skin	tissue	Homo sapiens											RNA	rRNA				reverse	2016-08-04	ENCODE		see document	>200	1	1_1	101		paired-ended	2	/files/ENCFF732GVX/			5123360411	Thomas Gingeras, CSHL	cbaa549fe08aee7c561288f87374908f	SRA:SRR4422571	https://www.encodeproject.org/files/ENCFF235JEO/@@download/ENCFF235JEO.fastq.gz		Illumina HiSeq 2500	/files/ENCFF001RTP/	released	s3://encode-public/2016/07/20/004a10a2-2e74-4589-b4b7-2f058e7eef20/ENCFF235JEO.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2016/07/20/004a10a2-2e74-4589-b4b7-2f058e7eef20/ENCFF235JEO.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					
